RRAS,DEPARTAMENTO REGIONAL DE SAÚDE,REGIÃO DE SAÚDE,Município
RRAS 17,3517 TAUBATÉ,35171 ALTO VALE DO PARAÍBA,353560 Paraibuna
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,353570 Paraíso
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,353580 Paranapanema
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,353590 Paranapuã
RRAS 10,3509 MARÍLIA,35095 TUPÃ,353600 Parapuã
RRAS 09,3506 BAURU,35063 POLO CUESTA,353610 Pardinho
RRAS 07,3512 REGISTRO,35121 VALE DO RIBEIRA,353620 Pariquera-Açu
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,353625 Parisi
RRAS 13,3508 FRANCA,35081 TRÊS COLINAS,353630 Patrocínio Paulista
RRAS 11,3511 PRESIDENTE PRUDENTE,35111 ALTA PAULISTA,353640 Paulicéia
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,353650 Paulínia
RRAS 09,3506 BAURU,35062 BAURU,353657 Paulistânia
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35155 SÃO JOSÉ DO RIO PRETO,353660 Paulo de Faria
RRAS 09,3506 BAURU,35062 BAURU,353670 Pederneiras
RRAS 16,3507 CAMPINAS,35071 BRAGANÇA,353680 Pedra Bela
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35154 FERNANDÓPOLIS,353690 Pedranópolis
RRAS 13,3508 FRANCA,35081 TRÊS COLINAS,353700 Pedregulho
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,353710 Pedreira
RRAS 10,3509 MARÍLIA,35092 ASSIS,353715 Pedrinhas Paulista
RRAS 07,3512 REGISTRO,35121 VALE DO RIBEIRA,353720 Pedro de Toledo
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,353730 Penápolis
RRAS 12,3502 ARAÇATUBA,35022 DOS LAGOS DO DRS II,353740 Pereira Barreto
RRAS 09,3506 BAURU,35063 POLO CUESTA,353750 Pereiras
RRAS 07,3504 BAIXADA SANTISTA,35041 BAIXADA SANTISTA,353760 Peruíbe
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,353770 Piacatu
RRAS 08,3516 SOROCABA,35163 SOROCABA,353780 Piedade
RRAS 08,3516 SOROCABA,35163 SOROCABA,353790 Pilar do Sul
RRAS 17,3517 TAUBATÉ,35174 V. PARAÍBA-REG. SERRANA,353800 Pindamonhangaba
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,353810 Pindorama
RRAS 16,3507 CAMPINAS,35071 BRAGANÇA,353820 Pinhalzinho
RRAS 11,3511 PRESIDENTE PRUDENTE,35114 EXTREMO OESTE PAULISTA,353830 Piquerobi
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,353850 Piquete
RRAS 16,3507 CAMPINAS,35071 BRAGANÇA,353860 Piracaia
RRAS 14,3510 PIRACICABA,35103 PIRACICABA,353870 Piracicaba
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,353880 Piraju
RRAS 09,3506 BAURU,35062 BAURU,353890 Pirajuí
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,353900 Pirangi
RRAS 05,3501 GRANDE SÃO PAULO,35014 ROTA DOS BANDEIRANTES,353910 Pirapora do Bom Jesus
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,353920 Pirapozinho
RRAS 14,3510 PIRACICABA,35101 ARARAS,353930 Pirassununga
RRAS 09,3506 BAURU,35062 BAURU,353940 Piratininga
RRAS 13,3513 RIBEIRÃO PRETO,35131 HORIZONTE VERDE,353950 Pitangueiras
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35156 JOSÉ BONIFÁCIO,353960 Planalto
RRAS 10,3509 MARÍLIA,35092 ASSIS,353970 Platina
RRAS 02,3501 GRANDE SÃO PAULO,35011 ALTO DO TIETÊ,353980 Poá
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35156 JOSÉ BONIFÁCIO,353990 Poloni
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,354000 Pompéia
RRAS 09,3506 BAURU,35065 LINS,354010 Pongaí
RRAS 13,3513 RIBEIRÃO PRETO,35131 HORIZONTE VERDE,354020 Pontal
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,354025 Pontalinda
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,354030 Pontes Gestal
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35154 FERNANDÓPOLIS,354040 Populina
RRAS 09,3506 BAURU,35063 POLO CUESTA,354050 Porangaba
RRAS 08,3516 SOROCABA,35163 SOROCABA,354060 Porto Feliz
RRAS 13,3503 ARARAQUARA,35034 CORAÇÃO DO DRS III,354070 Porto Ferreira
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,354075 Potim
