RRAS,DEPARTAMENTO REGIONAL DE SAÚDE,REGIÃO DE SAÚDE,Município
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35152 SANTA FÉ DO SUL,355490 Três Fronteiras
RRAS 16,3507 CAMPINAS,35071 BRAGANÇA,355495 Tuiuti
RRAS 10,3509 MARÍLIA,35095 TUPÃ,355500 Tupã
RRAS 11,3511 PRESIDENTE PRUDENTE,35111 ALTA PAULISTA,355510 Tupi Paulista
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,355520 Turiúba
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35154 FERNANDÓPOLIS,355530 Turmalina
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35156 JOSÉ BONIFÁCIO,355535 Ubarana
RRAS 17,3517 TAUBATÉ,35173 LITORAL NORTE,355540 Ubatuba
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,355550 Ubirajara
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35155 SÃO JOSÉ DO RIO PRETO,355560 Uchoa
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35156 JOSÉ BONIFÁCIO,355570 União Paulista
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,355580 Urânia
RRAS 09,3506 BAURU,35065 LINS,355590 Uru
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,355600 Urupês
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,355610 Valentim Gentil
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,355620 Valinhos
RRAS 12,3502 ARAÇATUBA,35021 CENTRAL DO DRS II,355630 Valparaíso
RRAS 16,3507 CAMPINAS,35071 BRAGANÇA,355635 Vargem
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35142 MANTIQUEIRA,355640 Vargem Grande do Sul
RRAS 04,3501 GRANDE SÃO PAULO,35013 MANANCIAIS,355645 Vargem Grande Paulista
RRAS 16,3507 CAMPINAS,35073 JUNDIAÍ,355650 Várzea Paulista
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,355660 Vera Cruz
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,355670 Vinhedo
RRAS 13,3505 BARRETOS,35052 SUL-BARRETOS,355680 Viradouro
RRAS 13,3505 BARRETOS,35052 SUL-BARRETOS,355690 Vista Alegre do Alto
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,355695 Vitória Brasil
RRAS 08,3516 SOROCABA,35163 SOROCABA,355700 Votorantim
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,355710 Votuporanga
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35156 JOSÉ BONIFÁCIO,355715 Zacarias
